Store_0,Store_1,Store_2,Store_3,Store_4,Store_5,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Season_0,Season_1,Season_2,Lag_1,Lag_2,Lag_3,Lag_4,Original_Store,Original_Date
0,0,0,0,0,1,0,0.4752193319135996,1.3683939090890505,-1.0012764116252697,0.308322305974057,6,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,24,2011-06-24
0,0,0,0,1,0,0,1.2636765774289156,-0.04995349195239912,1.3242665044329325,-2.0135559382884867,7,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,9,2012-07-20
0,0,0,0,0,1,0,0.2556902297852833,-0.7862777935650351,-1.0740484428235073,0.30753120606119116,6,0,0,1,0.5060683889612805,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,24,2010-06-11
0,0,0,0,1,1,0,1.2870422986950478,0.7928011659405293,1.0474902224554956,0.08602323045863142,6,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,21,2011-06-03
0,0,0,1,0,0,0,0.03616112765696625,-0.5842773214412147,1.0028663899670909,0.1627599220066613,2,0,1,0,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,2,2011-02-25
0,0,0,1,0,1,0,-0.4735376292647193,1.4965447462428714,-0.8291045466906156,-0.11966274688660229,4,0,1,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,22,2012-04-27
0,0,0,0,1,1,0,0.176898844120417,0.8688228489978814,1.1998577622562416,-0.6053980933865006,3,0,1,1,-0.3464209023990912,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,21,2012-03-16
0,0,0,1,1,0,0,-2.1482621162931155,-0.9361491115923857,-1.206109590171539,-0.47328440793783133,1,0,1,0,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,44,2011-01-14
0,0,0,1,1,1,0,0.9615523675691529,0.9252960992690565,-0.887204049236647,0.6817214648469427,7,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,35,2011-07-15
0,0,1,0,0,0,0,1.3288832414274256,0.29323010584936027,-1.1595182938833353,-1.7232222702665603,7,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,4,2011-07-08
0,0,1,0,0,1,0,0.7637588201070061,-1.1381495837162061,-1.0690523542528365,1.2022652075129587,8,0,0,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,18,2010-08-13
0,0,1,0,1,0,0,1.126742583032045,-1.2489240361712048,0.9122237723497016,0.5076794840163612,5,0,1,1,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,37,2010-05-28
0,0,1,0,1,0,1,0.3410022818500001,-0.2128570985038667,1.1055058765135721,-0.08406325080761956,11,1,0,0,-0.7343758734270242,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,37,2011-11-25
0,0,1,0,1,1,0,-1.7608258543686357,-0.5842773214412147,-1.0657946365455455,0.2584830114634806,12,0,1,0,-1.5889027855111972,-1.393942389021271,-1.2577473100500076,-1.1314799610755144,26,2010-12-03
0,0,0,0,0,1,0,0.6605149354426991,0.8427582719496465,-0.9267527103632588,0.9182603387939627,6,0,0,1,0.6194306030454504,0.5821011194156192,-1.2577473100500076,-1.1314799610755144,24,2012-06-22
