Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
12,03-08-2012,958667.23,0,88.16,3.76,130.737871,10.926
7,14-01-2011,547384.9,0,11.32,2.911,191.4784939,8.818
27,02-03-2012,1509323.09,0,40.07,3.983,141.3875357,8.009
2,06-05-2011,1837743.6,0,61.48,3.906,215.4448709,7.931
42,30-07-2010,469598.57,0,85.03,3.017,126.1069032,9.199
8,04-03-2011,935266.43,0,53.18,3.288,217.2185454,6.262
37,09-12-2011,537224.52,0,50.64,3.158,217.6645878,7.716
30,26-08-2011,387944.83,0,92.07,3.523,215.386897,7.852
8,04-11-2011,947815.05,0,49.68,3.332,221.2936581,6.123
44,03-12-2010,264214.12,0,25.8,2.812,126.7313333,7.61
29,25-02-2011,483660.15,0,30.23,3.281,133.4921429,10.256
2,08-07-2011,1853161.99,0,87.7,3.48,214.9296249,7.852
45,09-04-2010,833782.7,0,65.45,2.869,181.7596377,8.899
4,09-03-2012,2202450.81,0,53.63,3.667,130.7413793,4.607
19,07-01-2011,1224175.99,0,31.34,3.351,132.8823226,7.771
35,14-09-2012,821568.64,0,68.72,3.948,142.5938833,8.839
28,21-10-2011,1203172.05,0,73.05,3.842,129.7821613,12.89
5,11-02-2011,311590.54,1,38.25,3.022,213.4944627,6.634
28,31-12-2010,1090558.57,1,45.64,3.148,127.0876774,14.313
9,14-05-2010,492792.8,0,70.53,2.854,213.8469819,6.384
16,10-08-2012,554036.84,0,70.24,3.509,198.0795651,6.061
44,30-04-2010,272997.65,0,48.33,2.941,126.3805667,7.972
8,17-12-2010,1220579.55,0,45.03,2.869,214.7510843,6.433
14,02-12-2011,2143080.57,0,50.19,3.452,188.5024346,8.523
15,12-10-2012,551799.63,0,49.12,4.186,138.9117,7.992
31,13-04-2012,1407842.91,0,69.03,3.891,221.1484028,6.891
11,08-07-2011,1334627.96,0,87.17,3.48,218.6424704,7.567
2,14-05-2010,1880752.36,0,73.31,2.854,209.9984585,8.2
4,20-05-2011,2015563.48,0,70.49,3.881,129.0756774,5.946
2,23-07-2010,1781717.71,0,87.66,2.608,210.8921319,8.099
23,20-05-2011,1337617.55,0,56.67,4.101,134.6803871,4.781
20,30-09-2011,1945808.26,0,63.44,3.645,209.807836,7.274
3,06-05-2011,413042.12,0,69.45,3.906,219.1959827,7.574
12,30-12-2011,1111638.07,1,44.64,3.428,130.0710323,12.89
21,19-02-2010,867283.25,0,39.75,2.514,210.9451605,8.324
44,02-03-2012,316687.22,0,32.36,3.242,130.6457931,5.774
18,09-07-2010,1171391.41,0,79.75,2.806,132.5461333,9.342
29,08-10-2010,530059.06,0,56.32,2.776,132.7516667,10.524
38,02-09-2011,416953.51,0,93.66,3.798,129.3259355,13.503
38,01-06-2012,435579.7,0,78.11,4.277,130.9592258,11.627
13,14-05-2010,1890273.44,0,50.15,2.962,126.2085484,8.107
2,08-06-2012,2010216.49,0,78.69,3.452,221.3877467,6.891
