Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
26,11-11-2011,1077640.13,0,40.08,3.57,136.4618065,7.598
8,05-03-2010,881503.95,0,45.64,2.625,214.7216592,6.299
40,27-04-2012,875372.91,0,47.51,4.023,137.9781333,4.125
31,22-06-2012,1394065.76,0,81.78,3.346,221.4411622,6.891
11,23-07-2010,1244390.03,0,84.57,2.608,214.5564968,7.346
41,05-03-2010,1063557.49,0,32.49,2.62,189.6695049,7.541
38,07-01-2011,386344.54,0,37.64,3.287,127.1917742,14.021
19,17-12-2010,1911967.44,0,26.83,3.301,132.6804516,8.067
9,12-03-2010,494145.8,0,55.76,2.667,214.932899,6.415
1,09-12-2011,1799682.38,0,43.93,3.158,218.9618456,7.866
31,29-07-2011,1308122.15,0,91.56,3.682,215.1363819,7.852
43,12-10-2012,619369.72,0,71.14,3.601,214.6772833,8.839
21,12-11-2010,735796.38,0,60.95,2.728,211.6608975,8.163
31,01-06-2012,1404516.29,0,79.24,3.501,221.3852748,6.891
33,17-09-2010,246277.18,0,89.43,3.028,126.1454667,9.495
17,06-01-2012,1198104.22,0,27.64,3.08,130.1575161,6.403
25,15-06-2012,753860.89,0,68.34,3.62,214.5653243,7.139
38,02-04-2010,368929.55,0,59.84,3.086,126.6034839,14.099
40,10-09-2010,967310.82,1,62.75,2.717,132.7564516,5.326
31,29-10-2010,1257921.28,0,67.51,2.716,211.5661131,8.163
18,16-04-2010,1135577.62,0,50.26,2.885,131.9809,9.269
44,08-07-2011,295339.01,0,77.3,3.563,129.1125,6.56
37,09-09-2011,506273.74,1,77.94,3.546,214.6155376,8.177
33,11-06-2010,310800.79,0,93.52,3.057,126.1119032,9.849
10,15-10-2010,1703850.25,0,75.48,3.08,126.3266774,9.003
18,01-10-2010,948977.5,0,67.76,2.717,132.7568,9.331
22,11-05-2012,997868.63,0,56.72,3.947,142.0759262,7.671
21,13-08-2010,793589.18,0,89.65,2.692,211.2951413,8.099
37,22-06-2012,484032.75,0,80.4,3.346,220.4886472,6.989
3,29-10-2010,348591.74,0,72.04,2.716,215.2274686,7.564
34,26-10-2012,956987.81,0,57.95,3.514,131.1930968,8.839
42,17-12-2010,537455.65,0,59.15,3.125,126.8794839,9.003
28,02-04-2010,1441559.4,0,59.84,3.086,126.6034839,14.099
23,20-01-2012,1146992.13,0,15.33,3.542,136.8564194,4.261
5,24-08-2012,320831.36,0,79.45,3.62,222.7617437,5.603
31,09-09-2011,1376670.27,1,78.87,3.546,215.5148295,7.852
40,12-10-2012,982523.26,0,47.35,4.029,138.9117,4.145
40,30-04-2010,816838.31,0,46.5,2.935,132.0644333,5.435
13,30-07-2010,1817887.23,0,78.94,2.797,126.1069032,7.951
27,15-06-2012,1773500.56,0,69.52,3.786,142.1292548,8.253
41,13-08-2010,1285976.53,0,70.24,2.723,190.2611552,7.335
13,15-06-2012,2152229.11,0,65.97,3.756,130.8295333,5.965
6,20-08-2010,1539930.5,0,87.36,2.664,213.1291427,6.973
28,27-04-2012,1170456.16,0,77.99,4.193,131.1266667,11.627
36,02-12-2011,293350.51,0,53.57,3.164,217.4229206,7.716
21,07-01-2011,629152.06,0,44.24,2.976,211.0648881,8.028
4,31-12-2010,1794868.74,1,38.09,2.955,127.0876774,7.127
4,10-02-2012,2374660.64,1,33.0,3.411,130.3849032,4.607
31,27-01-2012,1259941.48,0,50.79,3.29,219.7188636,7.057
6,07-01-2011,1350441.68,0,47.78,2.976,212.9134266,6.858
13,13-05-2011,1958823.56,0,52.4,3.77,129.089,7.193
33,02-12-2011,220060.35,0,59.12,3.701,129.8459667,8.01
7,14-09-2012,541120.2,0,53.66,3.659,198.1267184,7.872
35,06-05-2011,835181.18,0,56.48,4.046,138.4131202,8.512
3,28-10-2011,389540.62,0,71.04,3.372,221.0801842,7.197
44,24-12-2010,365098.24,0,34.9,2.846,126.9835806,7.61
16,18-02-2011,491179.79,0,27.18,3.051,191.9178331,6.614
3,24-09-2010,355626.87,0,76.9,2.624,214.9084516,7.346
29,21-10-2011,505068.22,0,59.3,3.618,136.5017742,9.357
45,31-08-2012,734297.87,0,75.09,3.867,191.461281,8.684
4,02-04-2010,1979247.12,0,48.77,2.74,126.6034839,7.896
18,05-08-2011,1002806.39,0,74.58,3.903,136.0540323,8.89
6,21-05-2010,1531938.44,0,74.8,2.826,212.1275324,7.092
39,20-05-2011,1373907.21,0,73.31,3.907,214.465412,8.3
43,04-02-2011,651521.77,0,33.21,2.989,204.5264194,10.398
5,18-02-2011,356622.61,0,58.83,3.045,213.8068304,6.634
19,23-04-2010,1456793.33,0,46.87,3.021,132.0226667,8.185
18,24-09-2010,950862.92,0,64.82,2.718,132.7619333,9.342
20,28-09-2012,2008350.58,0,58.65,3.997,215.7367162,7.28
13,14-01-2011,1682316.31,0,20.6,2.903,127.3009355,7.47
3,05-11-2010,423175.56,0,62.94,2.689,215.2765472,7.564
16,04-02-2011,479263.15,0,13.64,3.011,191.7625895,6.614
44,07-09-2012,338737.33,1,70.65,3.689,130.9325484,5.407
36,15-07-2011,385631.48,0,85.63,3.55,214.1083654,8.177
1,08-06-2012,1697230.96,0,78.3,3.452,221.7494839,7.143
4,16-04-2010,1851519.69,0,56.23,2.81,126.5621,7.896
26,30-09-2011,959339.51,0,59.42,3.684,136.4195,7.767
10,17-08-2012,1827797.4,0,88.83,4.002,130.7909677,7.17
29,08-06-2012,554093.15,0,61.71,3.746,138.1174194,9.14
42,22-07-2011,511316.29,0,88.59,3.697,129.1507742,8.257
45,20-05-2011,727163.67,0,62.28,4.062,185.9661154,8.521
35,17-12-2010,1314987.4,0,31.62,3.14,136.5292811,8.763
22,26-03-2010,1012075.12,0,48.56,2.831,135.7073618,8.283
43,12-11-2010,595421.23,0,59.98,2.728,203.9185484,10.21
40,07-09-2012,1088248.4,1,65.06,3.921,138.4729355,4.156
28,06-08-2010,1523101.38,0,92.95,3.123,126.0854516,14.18
34,11-11-2011,991570.02,0,41.04,3.286,129.8167097,10.148
33,06-08-2010,262789.95,0,92.51,3.123,126.0854516,9.495
30,09-07-2010,436293.4,0,81.67,2.642,210.7657317,8.099
33,26-11-2010,240044.57,1,56.87,3.162,126.6692667,9.265
12,31-12-2010,891736.91,1,45.64,3.148,127.0876774,14.313
5,14-05-2010,296673.77,0,74.79,2.854,210.8872772,6.465
29,11-05-2012,529707.87,0,56.72,3.947,138.0882667,9.14
11,26-02-2010,1336404.65,0,52.79,2.561,214.6475127,7.368
1,24-09-2010,1351791.03,0,80.94,2.624,211.5972246,7.787
25,28-09-2012,683300.84,0,54.52,3.997,215.7367162,7.28
21,26-10-2012,675202.87,0,70.5,3.506,223.0783366,6.17
27,16-04-2010,1857500.96,0,54.95,3.01,135.82725,8.058
30,07-01-2011,451077.21,0,44.24,2.976,211.0648881,8.028
34,23-04-2010,910240.68,0,55.04,2.805,126.4713333,9.593
30,12-03-2010,468189.93,0,57.1,2.667,211.037551,8.324
45,07-01-2011,680254.35,0,34.32,3.193,182.5983058,8.549
31,04-11-2011,1426405.46,0,56.01,3.332,217.4853605,7.441
5,09-09-2011,321110.22,1,79.04,3.546,216.4226819,6.529
23,08-04-2011,1248901.98,0,36.74,3.72,134.1777742,4.781
15,19-02-2010,660838.75,0,27.54,2.909,131.637,8.35
37,28-09-2012,527953.14,0,79.49,3.666,221.6556,6.623
5,06-08-2010,303043.02,0,86.1,2.627,212.0624447,6.496
10,11-05-2012,1792345.3,0,76.03,4.186,131.1453333,7.382
22,16-03-2012,966780.01,0,46.06,3.867,141.55478,7.503
36,17-08-2012,314607.22,0,85.89,3.571,220.7199609,6.623
12,10-06-2011,996937.95,0,78.72,3.981,129.0357097,13.736
34,21-05-2010,913616.32,0,63.99,2.82,126.1843871,9.593
39,19-11-2010,1370659.54,0,55.5,2.771,210.65429,8.476
3,25-11-2011,556925.19,1,68.0,3.236,221.9011185,7.197
38,11-11-2011,411116.95,0,48.76,3.824,129.8167097,12.89
43,30-04-2010,630740.11,0,66.91,2.78,202.4312238,9.593
19,10-08-2012,1408907.89,0,74.45,3.863,138.1437742,8.193
5,04-06-2010,337825.89,0,79.54,2.705,211.7325146,6.465
14,16-04-2010,2121788.61,0,54.28,2.899,181.6924769,8.899
38,27-01-2012,412882.31,0,50.43,3.675,130.3144516,12.187
21,12-03-2010,712312.89,0,57.1,2.667,211.037551,8.324
22,09-04-2010,1033171.07,0,57.06,2.849,135.7856359,8.348
32,01-07-2011,1199845.29,0,72.86,3.597,193.0930552,8.622
1,28-10-2011,1445249.09,0,66.57,3.372,217.6766791,7.866
36,25-05-2012,306098.17,0,78.94,3.636,220.4287124,6.989
42,27-05-2011,503295.29,0,78.62,3.933,129.0623548,8.494
42,20-08-2010,500945.63,0,89.88,3.041,126.0766452,9.199
45,28-05-2010,801098.43,0,69.27,2.899,182.0464181,8.899
13,18-02-2011,2003480.59,0,40.85,3.062,127.99525,7.47
29,28-10-2011,515119.64,0,49.31,3.604,136.4884516,9.357
35,22-10-2010,827705.82,0,52.82,2.917,136.688871,8.763
26,16-04-2010,905548.38,0,36.6,2.885,131.9809,8.512
8,19-10-2012,900309.75,0,62.99,3.594,227.0184166,5.124
33,14-01-2011,259527.75,0,53.63,3.312,127.3009355,8.951
19,11-06-2010,1410683.94,0,61.64,2.972,132.4357419,8.185
18,30-09-2011,847348.08,0,69.01,3.684,136.4195,8.89
11,27-05-2011,1216876.52,0,85.61,3.786,218.8860765,7.574
29,01-06-2012,576252.35,0,70.01,3.798,138.1138065,9.14
35,17-09-2010,831443.61,0,64.5,2.706,136.6338071,8.861
9,21-01-2011,454021.69,0,44.72,3.016,215.3554013,6.416
20,31-12-2010,1799737.79,1,28.85,3.179,204.6432267,7.484
41,18-02-2011,1203399.64,0,39.39,3.051,191.9178331,7.241
7,01-07-2011,704344.21,0,58.54,3.597,193.0930552,8.622
24,08-06-2012,1406313.13,0,59.93,3.871,138.1174194,8.983
35,31-08-2012,931278.97,0,75.0,3.867,142.4054482,8.839
36,14-09-2012,301893.63,0,78.16,3.692,221.2601207,6.623
42,08-07-2011,593234.27,0,88.57,3.793,129.1125,8.257
30,14-10-2011,410711.99,0,69.79,3.274,217.0048261,7.441
44,02-04-2010,286197.5,0,42.15,2.842,126.6034839,7.972
39,20-07-2012,1582168.27,0,80.32,3.311,220.6148749,6.623
28,08-07-2011,1459655.85,0,89.9,3.705,129.1125,13.503
11,17-02-2012,1569607.94,0,52.77,3.51,223.9170153,6.833
43,15-07-2011,631827.38,0,84.67,3.575,207.1940691,10.641
20,23-12-2011,3555371.03,0,40.19,3.389,212.2360401,7.082
4,04-03-2011,2103455.75,0,46.56,3.305,128.26475,6.51
31,25-05-2012,1397094.26,0,79.49,3.561,221.3828029,6.891
25,09-09-2011,673248.48,1,67.51,3.738,209.0225562,7.274
43,02-04-2010,650102.8,0,62.19,2.719,202.83803,9.593
35,02-03-2012,766571.1,0,40.07,3.816,141.3875357,8.744
43,08-10-2010,713332.54,0,72.81,2.633,203.6651786,10.21
42,04-11-2011,597667.21,0,68.57,3.828,129.8051935,7.874
18,12-08-2011,928470.83,0,73.57,3.88,136.144129,8.89
14,17-02-2012,2020550.99,0,36.85,3.695,189.8424834,8.424
45,17-02-2012,858853.75,0,36.85,3.695,189.8424834,8.424
37,21-01-2011,526486.82,0,51.18,3.016,210.6031072,8.395
16,16-07-2010,586583.69,0,67.68,2.699,189.6125456,6.868
13,11-03-2011,1852432.58,0,41.28,3.346,128.3995,7.47
35,23-09-2011,705802.45,0,63.61,3.711,140.32725,8.684
14,03-12-2010,2258489.63,0,40.93,3.046,182.6676154,8.724
32,14-05-2010,1079314.52,0,46.42,2.788,189.4904116,8.963
41,15-06-2012,1384584.59,0,64.92,3.723,197.692292,6.547
31,06-05-2011,1388755.61,0,61.87,3.906,215.4448709,7.931
13,28-05-2010,1877358.86,0,53.11,2.908,126.1602258,8.107
33,11-03-2011,270921.44,0,66.51,3.63,128.3995,8.951
22,12-11-2010,1043698.64,0,44.42,2.961,136.8349032,8.572
17,05-02-2010,789036.02,0,23.11,2.666,126.4420645,6.548
33,11-05-2012,295841.84,0,81.02,4.186,131.1453333,7.396
33,20-05-2011,239206.26,0,76.07,3.99,129.0756774,8.687
45,29-10-2010,732859.76,0,61.3,2.921,182.9011166,8.724
27,03-06-2011,2053708.01,0,74.17,4.069,138.7694608,7.725
2,30-09-2011,1650394.44,0,78.14,3.355,216.3620333,7.852
36,26-11-2010,408891.49,1,67.73,2.725,210.5152765,8.476
35,13-07-2012,825763.48,0,78.95,3.523,142.2548214,8.839
2,01-04-2011,1800171.36,0,55.43,3.524,214.4886908,7.931
37,18-02-2011,536840.69,0,57.48,3.045,212.0063522,8.395
25,20-08-2010,724499.81,0,71.81,2.779,204.8217044,7.527
43,27-05-2011,578209.63,0,80.89,3.786,207.3119816,10.581
41,30-12-2011,1264014.16,1,34.12,3.119,196.3586101,6.759
22,30-12-2011,982661.14,1,36.28,3.402,140.5874505,7.706
11,06-04-2012,1596325.01,0,74.19,3.891,224.9393405,6.664
39,03-12-2010,1431910.98,0,53.55,2.708,210.376263,8.476
28,18-05-2012,1213310.45,0,84.51,4.11,131.0983226,11.627
5,16-04-2010,306858.69,0,65.3,2.808,211.0388528,6.465
45,30-09-2011,698986.34,0,70.66,3.645,187.2566641,8.625
23,03-02-2012,1261872.67,0,29.71,3.633,137.0632581,4.261
40,20-07-2012,968502.38,0,70.45,3.61,138.2331935,4.156
22,02-12-2011,1167621.14,0,49.11,3.501,140.4307857,7.706
19,02-09-2011,1609951.02,0,69.27,3.879,136.2440968,7.806
19,08-10-2010,1428960.72,0,53.74,2.903,132.7516667,8.067
18,28-05-2010,1256282.79,0,69.12,2.906,132.2939355,9.269
4,03-02-2012,2173373.91,0,41.81,3.354,130.3496774,4.607
21,21-01-2011,663941.73,0,42.72,3.016,211.4864691,8.028
36,04-06-2010,471088.88,0,79.93,2.664,209.9398091,8.464
33,03-09-2010,237405.82,0,90.82,3.087,126.1019355,9.495
13,24-06-2011,2009163.08,0,66.38,3.668,129.0663,7.193
3,11-06-2010,355017.09,0,82.1,2.668,214.787913,7.343
27,13-08-2010,1864436.12,0,77.36,2.923,136.4928214,7.982
8,05-02-2010,1004137.09,0,34.14,2.572,214.4714512,6.299
18,12-10-2012,1074079.0,0,50.97,4.029,138.9117,8.243
15,20-04-2012,534780.57,0,54.47,4.17,137.9230667,8.15
18,04-05-2012,1050027.89,0,49.66,3.991,138.0332,8.304
15,16-07-2010,633203.69,0,72.83,2.933,132.5667742,8.099
21,08-04-2011,744782.89,0,68.62,3.622,214.7252242,7.931
26,14-09-2012,986131.94,0,57.69,3.988,138.5673,7.405
37,16-04-2010,524544.83,0,66.74,2.808,209.2691428,8.464
40,02-04-2010,1041202.13,0,41.39,2.826,131.9019677,5.435
14,14-05-2010,2129771.13,0,54.26,2.982,181.6612792,8.899
5,03-09-2010,323798.0,0,84.06,2.577,212.0869176,6.496
11,09-12-2011,1646655.94,0,50.63,3.158,222.4167852,7.197
21,24-09-2010,671688.06,0,80.79,2.624,211.2552578,8.099
17,04-05-2012,930121.14,0,48.86,3.831,131.136,6.235
16,18-05-2012,493506.47,0,56.74,3.837,197.5553137,6.169
6,06-07-2012,1876359.39,0,82.95,3.227,223.4919851,5.668
3,14-05-2010,384357.94,0,77.18,2.854,213.6196139,7.343
22,08-10-2010,1015051.62,0,56.32,2.776,136.6277321,8.572
4,28-01-2011,1814240.85,0,40.6,3.022,127.5800323,6.51
15,06-05-2011,630522.67,0,49.87,4.192,134.5143667,7.658
34,13-04-2012,987353.65,0,59.12,3.881,131.108,9.575
